Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
BUENOS AIRES,Bahia Blanca,Villa Bordeau,NO,NO,NO,NO,SI,SI,NO,NO,NO
BUENOS AIRES,Bahia Blanca,Villa Espora,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,NO
BUENOS AIRES,Balcarce,Los Pinos,NO,NO,NO,NO,NO,NO,SI,SI,NO
BUENOS AIRES,Balcarce,Napaleofu,NO,NO,NO,SI,SI,SI,SI,SI,NO
BUENOS AIRES,Balcarce,Ramos Otero,NO,NO,NO,NO,SI,NO,NO,SI,NO
BUENOS AIRES,Balcarce,San Agustin,NO,NO,NO,NO,NO,NO,SI,SI,NO
BUENOS AIRES,Balcarce,Villa Laguna La Brava,NO,NO,NO,NO,SI,SI,SI,SI,NO
BUENOS AIRES,Baradero,Baradero,SI,SI,NO,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Baradero,Irineo Portela,NO,NO,NO,SI,NO,NO,SI,SI,SI
BUENOS AIRES,Baradero,Santa Coloma,NO,NO,NO,NO,SI,NO,NO,SI,NO
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,NO,NO,NO,SI,SI,SI,SI,NO
BUENOS AIRES,Benito Juarez,Barker,NO,NO,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufu,Lago Rosario,NO,NO,NO,NO,NO,NO,SI,NO,SI
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,NO
BUENOS AIRES,General Las Heras,La Choza,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,General Las Heras,Lozano,NO,NO,NO,NO,NO,NO,NO,NO,SI
BUENOS AIRES,General Las Heras,Plomer,NO,NO,NO,NO,NO,NO,SI,NO,NO
BUENOS AIRES,General Las Heras,Villars,NO,SI,SI,SI,NO,NO,SI,NO,NO
BUENOS AIRES,General Lavalle,Chacras de San Clemente,NO,NO,NO,NO,NO,NO,NO,SI,NO
BUENOS AIRES,General Lavalle,General Lavalle,NO,SI,NO,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Lavalle,Pavon,NO,NO,NO,SI,SI,SI,NO,SI,NO
BUENOS AIRES,General Paz,Barrio Rio Salado,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,General Paz,Loma Verde,NO,NO,NO,NO,SI,SI,SI,SI,NO
BUENOS AIRES,General Paz,Ranchos,SI,NO,SI,SI,SI,SI,SI,SI,NO
BUENOS AIRES,General Paz,Villanueva (Ap. Rio Salado),NO,NO,NO,NO,NO,NO,SI,SI,NO
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,NO,NO,NO,SI,SI,SI,SI,NO
MISIONES,San Ignacio,General Urquiza,NO,NO,NO,NO,NO,NO,NO,SI,NO
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolome Bavio),NO,SI,NO,SI,SI,NO,SI,NO,NO
BUENOS AIRES,Magdalena,Los Naranjos,NO,NO,NO,SI,NO,NO,NO,NO,NO
BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,NO,SI,SI,SI,SI,NO
BUENOS AIRES,Magdalena,Roberto J. Payro,NO,NO,NO,NO,NO,NO,NO,SI,NO
BUENOS AIRES,Magdalena,Vieytes,NO,NO,NO,SI,NO,NO,SI,SI,NO
BUENOS AIRES,Maipu,Las Armas,SI,NO,NO,NO,SI,SI,SI,SI,NO
BUENOS AIRES,Maipu,Maipu,SI,NO,SI,NO,SI,SI,SI,SI,NO
BUENOS AIRES,Maipu,Santo Domingo,NO,NO,NO,NO,SI,NO,SI,SI,SI
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triangulo,SI,NO,NO,SI,SI,SI,NO,NO,NO
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,NO,SI,SI,SI,SI,NO,NO
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,NO,SI,SI,SI,SI,SI,NO
BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,NO
BUENOS AIRES,San Fernando,Victoria,SI,SI,NO,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Fernando,Virreyes,SI,SI,NO,SI,SI,SI,SI,NO,NO
BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,NO,SI
BUENOS AIRES,San Isidro,Beccar,SI,SI,NO,SI,SI,SI,SI,SI,NO
BUENOS AIRES,San Isidro,Boulogne Sur Mer,SI,SI,NO,SI,SI,SI,SI,SI,NO
CABA,COMUNA 04,NUEVA POMPEYA,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Fernando,Fontana,NO,NO,NO,SI,SI,SI,NO,SI,NO
CHACO,San Fernando,Puerto Vilelas,NO,NO,NO,SI,SI,SI,NO,NO,SI
CHACO,San Fernando,Resistencia,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Lorenzo,Samuhu,NO,NO,NO,NO,SI,NO,NO,NO,SI
BUENOS AIRES,Tandil,Desvio Aguirre,NO,NO,NO,SI,SI,SI,NO,SI,NO
BUENOS AIRES,Tandil,Gardey,NO,NO,NO,SI,SI,SI,SI,SI,NO
BUENOS AIRES,Tandil,Maria Ignacia (Est. Vela),SI,NO,NO,NO,SI,NO,SI,SI,NO
BUENOS AIRES,Tandil,Tandil,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Tapalque,Crotto,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Tapalque,Tapalque,NO,NO,NO,NO,SI,SI,SI,NO,SI
BUENOS AIRES,Tapalque,Velloso,NO,NO,NO,NO,NO,NO,NO,NO,NO
