Año;Trimestre;Internet fijo;Periodo;PorcentajesDeCrecimiento
2014;1;2984054;Ene-Mar 2014;
2014;2;3270816;Abr-Jun 2014;10%
2014;3;3478638;Jul-Sept 2014;6%
2014;4;3950441;Oct-Dic 2014;14%
2015;1;4876385;Ene-Mar 2015;23%
2015;2;4701791;Abr-Jun 2015;-4%
2015;3;5153739;Jul-Sept 2015;10%
2015;4;5376899;Oct-Dic 2015;4%
2016;1;5936845;Ene-Mar 2016;10%
2016;2;6534241;Abr-Jun 2016;10%
2016;3;6912442;Jul-Sept 2016;6%
2016;4;7483980;Oct-Dic 2016;8%
2017;1;8701201;Ene-Mar 2017;16%
2017;2;9678647;Abr-Jun 2017;11%
2017;3;10065998;Jul-Sept 2017;4%
2017;4;11226127;Oct-Dic 2017;12%
2018;1;13171459;Ene-Mar 2018;17%
2018;2;14319467;Abr-Jun 2018;9%
2018;3;15410981;Jul-Sept 2018;8%
2018;4;16637687;Oct-Dic 2018;8%
2019;1;20207414;Ene-Mar 2019;21%
2019;2;20743118;Abr-Jun 2019;3%
2019;3;21652748;Jul-Sept 2019;4%
2019;4;24169251;Oct-Dic 2019;12%
2020;1;29946216;Ene-Mar 2020;24%
2020;2;32102476;Abr-Jun 2020;7%
2020;3;31997445;Jul-Sept 2020;0%
2020;4;33539703;Oct-Dic 2020;5%
2021;1;36676371;Ene-Mar 2021;9%
2021;2;38239667;Abr-Jun 2021;4%
2021;3;42999944;Jul-Sept 2021;12%
2021;4;45467887;Oct-Dic 2021;6%
2022;1;55589997;Ene-Mar 2022;22%
2022;2;60335724;Abr-Jun 2022;9%
2022;3;67055930;Jul-Sept 2022;11%
