Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
BUENOS AIRES,Bahia Blanca,Villa Bordeau,,,,,SI,SI,,,
BUENOS AIRES,Bahia Blanca,Villa Espora,,,,,,,,,
BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,
BUENOS AIRES,Balcarce,Los Pinos,,,,,,,SI,SI,
BUENOS AIRES,Balcarce,Napaleofu,,,,SI,SI,SI,SI,SI,
BUENOS AIRES,Balcarce,Ramos Otero,,,,,SI,,,SI,
BUENOS AIRES,Balcarce,San Agustin,,,,,,,SI,SI,
BUENOS AIRES,Balcarce,Villa Laguna La Brava,,,,,SI,SI,SI,SI,
BUENOS AIRES,Baradero,Baradero,SI,SI,,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Baradero,Irineo Portela,,,,SI,,,SI,SI,SI
BUENOS AIRES,Baradero,Santa Coloma,,,,,SI,,,SI,
BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,,,,SI,SI,SI,SI,
BUENOS AIRES,Benito Juarez,Barker,,,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufu,Lago Rosario,,,,,,,SI,,SI
BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,
BUENOS AIRES,General Las Heras,La Choza,,,,,,,,,
BUENOS AIRES,General Las Heras,Lozano,,,,,,,,,SI
BUENOS AIRES,General Las Heras,Plomer,,,,,,,SI,,
BUENOS AIRES,General Las Heras,Villars,,SI,SI,SI,,,SI,,
BUENOS AIRES,General Lavalle,Chacras de San Clemente,,,,,,,,SI,
BUENOS AIRES,General Lavalle,General Lavalle,,SI,,SI,SI,SI,SI,SI,SI
BUENOS AIRES,General Lavalle,Pavon,,,,SI,SI,SI,,SI,
BUENOS AIRES,General Paz,Barrio Rio Salado,,,,,,,,,
BUENOS AIRES,General Paz,Loma Verde,,,,,SI,SI,SI,SI,
BUENOS AIRES,General Paz,Ranchos,SI,,SI,SI,SI,SI,SI,SI,
BUENOS AIRES,General Paz,Villanueva (Ap. Rio Salado),,,,,,,SI,SI,
BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,,,,SI,SI,SI,SI,
MISIONES,San Ignacio,General Urquiza,,,,,,,,SI,
BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolome Bavio),,SI,,SI,SI,,SI,,
BUENOS AIRES,Magdalena,Los Naranjos,,,,SI,,,,,
BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,Magdalena,Roberto J. Payro,,,,,,,,SI,
BUENOS AIRES,Magdalena,Vieytes,,,,SI,,,SI,SI,
BUENOS AIRES,Maipu,Las Armas,SI,,,,SI,SI,SI,SI,
BUENOS AIRES,Maipu,Maipu,SI,,SI,,SI,SI,SI,SI,
BUENOS AIRES,Maipu,Santo Domingo,,,,,SI,,SI,SI,SI
BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triangulo,SI,,,SI,SI,SI,,,
BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,,SI,SI,SI,SI,,
BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,,SI,SI,SI,SI,SI,
BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,
BUENOS AIRES,San Fernando,Victoria,SI,SI,,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Fernando,Virreyes,SI,SI,,SI,SI,SI,SI,,
BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,,SI
BUENOS AIRES,San Isidro,Beccar,SI,SI,,SI,SI,SI,SI,SI,
BUENOS AIRES,San Isidro,Boulogne Sur Mer,SI,SI,,SI,SI,SI,SI,SI,
CABA,COMUNA 04,NUEVA POMPEYA,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Fernando,Fontana,,,,SI,SI,SI,,SI,
CHACO,San Fernando,Puerto Vilelas,,,,SI,SI,SI,,,SI
CHACO,San Fernando,Resistencia,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,San Lorenzo,Samuhu,,,,,SI,,,,SI
BUENOS AIRES,Tandil,Desvio Aguirre,,,,SI,SI,SI,,SI,
BUENOS AIRES,Tandil,Gardey,,,,SI,SI,SI,SI,SI,
BUENOS AIRES,Tandil,Maria Ignacia (Est. Vela),SI,,,,SI,,SI,SI,
BUENOS AIRES,Tandil,Tandil,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Tapalque,Crotto,,,,,,,,,
BUENOS AIRES,Tapalque,Tapalque,,,,,SI,SI,SI,,SI
BUENOS AIRES,Tapalque,Velloso,,,,,,,,,
BUENOS AIRES,Tigre,Benavidez,SI,SI,,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Tigre,Dique Lujan,SI,SI,,SI,SI,SI,SI,SI,
CABA,COMUNA 10,FLORESTA,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHUBUT,Futaleufu,Los Cipreses,,,,,,,SI,,SI
CHUBUT,Futaleufu,Trevelin,SI,,SI,,SI,SI,SI,SI,SI
CHUBUT,Futaleufu,Villa Futalaufquen,,,,,,,SI,,SI
CHUBUT,Gaiman,28 de Julio,,,,SI,SI,SI,,,SI
CHUBUT,Gaiman,Dique Florentino Ameghino,,,,,,,SI,,
CHUBUT,Gaiman,Dolavon,,,SI,SI,SI,,SI,,SI
BUENOS AIRES,San Isidro,Martinez,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Isidro,San Isidro,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Isidro,Villa Adelina,SI,SI,,SI,SI,SI,SI,,
BUENOS AIRES,San Miguel,Bella Vista,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Miguel,Campo De Mayo,,,,,SI,SI,,,SI
BUENOS AIRES,San Miguel,Muñiz,SI,SI,SI,SI,SI,SI,SI,,
CORDOBA,Cruz del Eje,Canteras Quilpo,,,,,,,SI,SI,
CORDOBA,Cruz del Eje,Cruz de Caña,,,,,,,,SI,
BUENOS AIRES,Berisso,Berisso,SI,SI,SI,SI,SI,SI,SI,SI,
BUENOS AIRES,Berisso,Los Talas,,,,,,,,,
BUENOS AIRES,Berisso,Villa Arguello,,,,SI,SI,SI,,SI,
BUENOS AIRES,Berisso,Villa Dolores,,,,,SI,SI,,,
BUENOS AIRES,Berisso,Villa Independencia,,,,,,,,,
BUENOS AIRES,Berisso,Villa Nueva,,,,SI,SI,SI,,SI,
BUENOS AIRES,Berisso,Villa Porteña,,,,,,,,,
