Año;Trimestre;Internet móvil;Periodo;PorcentajeCrecimientoFijo
2013;1;13135235;Ene-Mar 2013;
2013;2;13970806;Abr-Jun 2013;6,36%
2013;3;15235659;Jul-Sept 2013;9,05%
2013;4;16218846;Oct-Dic 2013;6,45%
2014;1;15938353;Ene-Mar 2013;-1,73%
2014;2;17680972;Abr-Jun 2014;10,93%
2014;3;18976053;Jul-Sept 2014;7,32%
2014;4;20012332;Oct-Dic 2014;5,46%
2015;1;19337342;Ene-Mar 2015;-3,37%
2015;2;19945453;Abr-Jun 2015;3,14%
2015;3;21785238;Jul-Sept 2015;9,22%
2015;4;24881967;Oct-Dic 2015;14,21%
2016;1;24763052;Ene-Mar 2016;-0,48%
2016;2;25353971;Abr-Jun 2016;2,39%
2016;3;27416177;Jul-Sept 2016;8,13%
2016;4;30143233;Oct-Dic 2016;9,95%
2017;1;31205565;Ene-Mar 2017;3,52%
2017;2;33509264;Abr-Jun 2017;7,38%
2017;3;35711689;Jul-Sept 2017;6,57%
2017;4;38110028;Oct-Dic 2017;6,72%
2018;1;38733946;Ene-Mar 2018;1,64%
2018;2;40653502;Abr-Jun 2018;4,96%
2018;3;43280089;Jul-Sept 2018;6,46%
2018;4;44026803;Oct-Dic 2018;1,73%
2019;1;50246691;Ene-Mar 2019;14,13%
2019;2;55338816;Abr-Jun 2019;10,13%
2019;3;60905891;Jul-Sept 2019;10,06%
2019;4;65388842;Oct-Dic 2019;7,36%
2020;1;72077147;Ene-Mar 2020;10,23%
2020;2;73538944;Abr-Jun 2020;2,03%
2020;3;79634755;Jul-Sept 2020;8,29%
2020;4;83479114;Oct-Dic 2020;4,83%
2021;1;93112153;Ene-Mar 2021;11,54%
2021;2;104782020;Abr-Jun 2021;12,53%
2021;3;117751925;Jul-Sept 2021;12,38%
2021;4;127389786;Oct-Dic 2021;8,18%
2022;1;130454676;Ene-Mar 2022;2,41%
2022;2;153032313;Abr-Jun 2022;17,31%
2022;3;174057836;Jul-Sept 2022;13,74%
